"","X","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"1",1,35,"expletive_test",26,8,"test","neg","pej","AO","A","IPN8","Italian","L2"
"2",5,35,"expletive_test",68,7,"test","pos","pej","TO","A","IPP7","Italian","L2"
"3",6,35,"expletive_test",30,6,"test","pos","adj","NEU","A","IAP6","Italian","L2"
"4",12,35,"expletive_test",65,1,"test","pos","pej","TO","A","IPP1","Italian","L2"
"5",13,35,"expletive_test",56,1,"test","neg","adj","TO","A","IAN1","Italian","L2"
"6",15,35,"expletive_test",43,5,"test","pos","adj","AO","A","IAP5","Italian","L2"
"7",16,35,"expletive_test",58,2,"test","pos","pej","AO","A","IPP2","Italian","L2"
"8",18,35,"expletive_test",51,8,"test","neg","adj","AO","A","IAN8","Italian","L2"
"9",19,35,"expletive_test",71,4,"test","pos","pej","TO","A","IPP4","Italian","L2"
"10",21,35,"expletive_test",78,7,"test","neg","pej","TO","A","IPN7","Italian","L2"
"11",23,35,"expletive_test",36,9,"test","neg","adj","NEU","A","IAN9","Italian","L2"
"12",25,35,"expletive_test",53,7,"test","neg","adj","TO","A","IAN7","Italian","L2"
"13",26,35,"expletive_test",47,5,"test","neg","pej","AO","A","IPN5","Italian","L2"
"14",27,35,"expletive_test",66,9,"test","pos","adj","NEU","A","IAP9","Italian","L2"
"15",28,35,"expletive_test",34,3,"test","pos","pej","NEU","A","IPP3","Italian","L2"
"16",29,35,"expletive_test",34,8,"test","pos","adj","AO","A","IAP8","Italian","L2"
"17",30,35,"expletive_test",87,4,"test","neg","pej","TO","A","IPN4","Italian","L2"
"18",31,35,"expletive_test",69,6,"test","pos","pej","NEU","A","IPP6","Italian","L2"
"19",33,35,"expletive_test",30,4,"test","pos","adj","TO","A","IAP4","Italian","L2"
"20",35,35,"expletive_test",54,2,"test","neg","pej","AO","A","IPN2","Italian","L2"
"21",36,35,"expletive_test",57,2,"test","pos","adj","AO","A","IAP2","Italian","L2"
"22",38,35,"expletive_test",61,7,"test","pos","adj","TO","A","IAP7","Italian","L2"
"23",40,35,"expletive_test",60,3,"test","neg","pej","NEU","A","IPN3","Italian","L2"
"24",42,35,"expletive_test",66,5,"test","pos","pej","AO","A","IPP5","Italian","L2"
"25",43,35,"expletive_test",58,9,"test","neg","pej","NEU","A","IPN9","Italian","L2"
"26",46,35,"expletive_test",67,6,"test","neg","adj","NEU","A","IAN6","Italian","L2"
"27",47,35,"expletive_test",64,3,"test","neg","adj","NEU","A","IAN3","Italian","L2"
"28",51,35,"expletive_test",29,6,"test","neg","pej","NEU","A","IPN6","Italian","L2"
"29",52,35,"expletive_test",72,1,"test","neg","pej","TO","A","IPN1","Italian","L2"
"30",53,35,"expletive_test",63,4,"test","neg","adj","TO","A","IAN4","Italian","L2"
"31",54,35,"expletive_test",39,2,"test","neg","adj","AO","A","IAN2","Italian","L2"
"32",55,35,"expletive_test",70,8,"test","pos","pej","AO","A","IPP8","Italian","L2"
